Rayon;Date;Num_Ticket;ID Article;Article;Quantite;Prix U. TTC;Total HT;Total TTC;Montant TVA;Taux TVA
ENFANTS;21/04/2026 15:33:18;13770;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:33:26;13770;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:35:11;13771;2;MANCHE COURTE ENF;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 15:38:12;13772;44;PYJAMA FEMME;1;4;3.333333;4;0.666667;20
ENFANTS;21/04/2026 15:38:26;13772;7;ACCESSOIRES ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:38:32;13772;7;ACCESSOIRES ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 15:38:41;13772;7;ACCESSOIRES ENF;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 15:38:53;13772;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 15:39:06;13772;48;PRIX RONDS;1;0.5;0.416667;0.5;0.083333;20
FEMME;21/04/2026 15:59:42;13773;70;BLOUSE FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 16:00:55;13774;25;ACCESSOIRE FEMME;1;0.5;0.416667;0.5;0.083333;20
FEMME;21/04/2026 16:00:57;13774;25;ACCESSOIRE FEMME;1;0.5;0.416667;0.5;0.083333;20
FEMME;21/04/2026 16:00:59;13774;25;ACCESSOIRE FEMME;1;0.5;0.416667;0.5;0.083333;20
ENFANTS;21/04/2026 16:08:03;13775;7;ACCESSOIRES ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 16:08:06;13775;7;ACCESSOIRES ENF;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 16:08:13;13775;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 16:08:22;13775;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 16:15:42;13776;8;CHAUSSURES ENF;1;4;3.333333;4;0.666667;20
ENFANTS;21/04/2026 16:15:50;13776;7;ACCESSOIRES ENF;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 16:16:04;13776;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 16:16:18;13776;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
